epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
0,0.0002,2.4507675957489012,0.08826,2.4476413776397705,0.0708,32.88181948661804
1,0.0004,2.1125220795440676,0.24454,1.7778362413406372,0.4266,71.47271132469177
2,0.0006,1.9008484563827515,0.3579,1.6129909309387207,0.5003,31.681408882141113
3,0.0008,1.7872783587265015,0.4145,1.5181926372528076,0.5467,112.05251407623291
4,0.001,1.721404615135193,0.44662,1.4692224185943603,0.5721,72.40941882133484
5,0.0009998303758629009,1.6726759943389893,0.47,1.4363120561599731,0.5912,31.79985761642456
6,0.000999321619703514,1.609328215446472,0.50268,1.4015510309219361,0.6109,112.01843762397766
7,0.0009984740801978985,1.5479268711090088,0.53102,1.3747331195831298,0.6192,71.858815908432
8,0.0009972883382072953,1.5050741445159912,0.55394,1.336030145072937,0.6358,31.709248781204224
9,0.0009957652063800363,1.4584492879486084,0.57408,1.2827543102264405,0.6534,112.14400362968445
10,0.0009939057285945933,1.425839783592224,0.59254,1.2379881637573242,0.6778,31.984642505645752
11,0.0009917111792441576,1.3841702051162719,0.61192,1.19314603805542,0.7031,112.25124430656433
12,0.0009891830623632338,1.3538360230636597,0.62492,1.1757463344573975,0.7083,72.3430163860321
13,0.0009863231105968497,1.32531153629303,0.64028,1.143726654815674,0.7276,31.565444469451904
14,0.0009831332840130884,1.3075005392837524,0.64816,1.135311860847473,0.7288,111.96862554550171
15,0.0009796157687597552,1.2837685305404662,0.65926,1.1021532375335694,0.7412,32.52764940261841
16,0.0009757729755661006,1.2689041793441773,0.66514,1.0906259525299071,0.7506,53.833719968795776
17,0.0009716075380906279,1.253160179977417,0.67384,1.0892521224975587,0.7476,72.23212766647339
18,0.0009671223111161144,1.2359680573272704,0.68238,1.0738114152908325,0.7539,31.624244689941406
19,0.0009623203685930865,1.2212957835006715,0.68862,1.0601252822875977,0.7645,112.21837592124939
20,0.000957205001533087,1.2054580880355834,0.6963,1.0391676830291747,0.7768,72.0923342704773
21,0.0009517797157531806,1.1924517315673828,0.70246,1.0372510623931885,0.7754,31.959773302078247
22,0.0009460482294732416,1.1802669774627685,0.70758,1.0395322080612182,0.7752,112.07312321662903
23,0.0009400144707676724,1.1671978309631348,0.71508,1.0166769367218018,0.7825,72.08493709564209
24,0.0009336825748732968,1.1591689210128784,0.7178,1.0108280015945434,0.7886,31.87292456626892
25,0.0009270568813552752,1.1454318777084351,0.72196,1.0091242091178894,0.7857,112.42838644981384
26,0.0009201419311329845,1.1368897851943969,0.72712,1.00022568359375,0.8008,72.38577032089233
27,0.0009129424633678974,1.1324937036895752,0.72948,1.008714927482605,0.7933,31.929423570632935
28,0.0009054634122155986,1.1237999863052368,0.73686,0.9782502197265625,0.8043,111.81400847434998
29,0.0008977099034441611,1.1190765488433838,0.73574,0.9999972500801086,0.7902,72.38388633728027
30,0.0008896872509212003,1.1100435189819335,0.74118,0.9727399415016175,0.8076,31.663452625274658
31,0.0008814009529720151,1.097969596595764,0.74464,0.9576975708007812,0.8122,112.20881605148315
32,0.0008728566886113099,1.0877782794570923,0.74962,0.9644718228340149,0.8106,71.95977759361267
33,0.000864060313651082,1.085031335258484,0.75084,0.9522501195907592,0.8152,31.403748989105225
34,0.0008550178566873408,1.075749885673523,0.75538,0.9837511294364929,0.8026,111.97197699546814
35,0.0008457355149684079,1.0710509838104247,0.75796,0.9290064785957336,0.8252,31.271451950073242
36,0.0008362196501476345,1.0686630693435668,0.7604,0.937321738910675,0.8231,112.23972082138062
37,0.0008264767839234406,1.057938917541504,0.7646,0.9411257434844971,0.8176,72.21751761436462
38,0.0008165135935696693,1.0489792762756347,0.76764,0.9199836861610413,0.8259,32.0163197517395
39,0.0008063369073593164,1.0419976992416382,0.76984,0.9242216779708863,0.8272,112.06213235855103
40,0.0007959536998847739,1.039298809776306,0.7714,0.92095980758667,0.831,31.756098985671997
41,0.000785371087277792,1.032914048423767,0.77424,0.9294581307411194,0.8252,112.42978644371033
42,0.0007745963223324382,1.029270536327362,0.77674,0.9173534300804138,0.8304,72.31696724891663
43,0.0007636367895343944,1.0207491024398803,0.78292,0.9131014429092407,0.8339,31.731969833374023
44,0.0007524999999999997,1.0189686765861512,0.78104,0.9152645569801331,0.8306,112.15916204452515
45,0.000741193586328506,1.0094927862930299,0.7866,0.9107928099632263,0.8318,31.71100878715515
46,0.0007297252973710753,1.0073595896530152,0.78804,0.8985792402267456,0.8377,111.98440384864807
47,0.0007181029929201058,1.002658836746216,0.7905,0.9095933094024659,0.8384,31.337872743606567
48,0.0007063346383225208,0.9971660848999023,0.79252,0.8846145004272461,0.847,33.61390686035156
49,0.0006944282990207191,0.9919433291244507,0.79412,0.8987606934547424,0.8375,72.14535117149353
50,0.0006823921350249234,0.986436829662323,0.79878,0.8898071846008301,0.8445,31.63331413269043
51,0.0006702343953207163,0.9767517879104615,0.8021,0.8812063143730163,0.8449,111.92561888694763
52,0.0006579634122155987,0.9745464224243164,0.80278,0.8958115529060364,0.8424,71.83160066604614
53,0.0006455875956284415,0.9661296252250672,0.80696,0.8968856623649597,0.8424,31.65973925590515
54,0.0006331154273257474,0.9643752908706665,0.80816,0.8712891810417175,0.85,112.07594680786133
55,0.0006205554551086729,0.9613771726036072,0.80938,0.8829927425384522,0.8457,71.83800721168518
56,0.0006079162869547905,0.95448801902771,0.8111,0.8779644722938538,0.8497,31.339292526245117
57,0.0005952065851186127,0.9493825752449035,0.81472,0.8823920147895813,0.8431,111.75375318527222
58,0.0005824350601949139,0.9439121301078797,0.81436,0.864031506061554,0.8538,31.676733016967773
59,0.0005696104651489251,0.9400263387680053,0.81804,0.8768290449142456,0.8478,111.94660472869873
60,0.0005567415893174882,0.9363891207504272,0.82068,0.8546259122848511,0.8598,72.14393472671509
61,0.000543837252385283,0.9312851782035828,0.8237,0.8680149291992187,0.8529,31.61773133277893
62,0.0005309062983402568,0.9256471591377259,0.82634,0.8624569082260132,0.8562,112.0909218788147
63,0.0005179575894123969,0.9192596118545532,0.8284,0.8560889030456543,0.8598,71.54000234603882
64,0.0005049999999999998,0.9171531851577759,0.8285,0.8505636582374573,0.8608,31.326671361923218
65,0.0004920424105876026,0.9108044793510437,0.8311,0.8451170392990113,0.8639,111.62572050094604
66,0.0004790937016597426,0.9058851525878906,0.83396,0.8737995707511902,0.8484,31.586421251296997
67,0.00046616274761471655,0.9058477906417847,0.83514,0.846517529296875,0.8634,112.07470607757568
68,0.00045325841068251133,0.8976629001045227,0.83776,0.8407311709403992,0.8667,71.87742686271667
69,0.0004403895348510743,0.8960418490791321,0.83844,0.849155180644989,0.8614,31.505178213119507
70,0.00042756493980508544,0.8854288704109192,0.8425,0.8405527458190918,0.87,111.71521949768066
71,0.00041479341488138684,0.8849647644424439,0.84416,0.8332199104309082,0.8696,31.49124789237976
72,0.00040208371304520883,0.8813396863174439,0.84632,0.8392843534469604,0.8667,112.25607013702393
73,0.0003894445448913266,0.8789727088737488,0.84498,0.8343823268890381,0.8679,31.7600359916687
74,0.000376884572674252,0.8698123001861572,0.8509,0.8347395878791809,0.8708,112.56734275817871
75,0.00036441240437155804,0.8696209405899048,0.85102,0.8286101589202881,0.873,72.46488857269287
76,0.00035203658778440087,0.8595674645996094,0.85552,0.8276808714866638,0.8749,30.652790069580078
77,0.0003397656046792832,0.8601968425369263,0.85452,0.8190476113319397,0.8764,111.3228771686554
78,0.00032760786497507615,0.8500359411811829,0.8594,0.8211485960960389,0.8765,31.06130337715149
79,0.0003155717009792804,0.8510221995925903,0.85896,0.8251441331863403,0.8752,110.72215342521667
80,0.00030366536167747877,0.8472207728385925,0.86204,0.8193657576560974,0.878,31.792600393295288
81,0.0002918970070798938,0.8414652253723145,0.8648,0.8289646177291871,0.8718,32.60352540016174
82,0.0002802747026289241,0.8379296639633179,0.86604,0.8236107698440551,0.8748,70.99710655212402
83,0.0002688064136714936,0.8372005520439147,0.86572,0.8174563175201416,0.8785,30.461398363113403
84,0.0002574999999999999,0.8321700515556335,0.86908,0.8060383222579957,0.8822,111.4603419303894
85,0.00024636321046560516,0.8221738178825378,0.8721,0.8135153115272522,0.8802,71.40460205078125
86,0.00023540367766756157,0.8217481004524231,0.87232,0.8096828645706177,0.8817,30.38365387916565
87,0.00022462891272220746,0.8214244470024109,0.87354,0.8043829751014709,0.8856,110.85267043113708
88,0.00021404630011522568,0.8143843955802917,0.87702,0.8074398557662964,0.8837,30.789149284362793
89,0.00020366309264068313,0.8090473999404907,0.87838,0.8079086148262024,0.883,111.2157232761383
90,0.00019348640643033043,0.8093587685966491,0.87818,0.80516455783844,0.8825,71.15582132339478
91,0.00018352321607655904,0.8036268977737426,0.8813,0.8067295234680176,0.8861,30.2280170917511
92,0.00017378034985236524,0.7988839429092407,0.88288,0.8120572241783142,0.8817,110.6259651184082
93,0.00016426448503159162,0.7924927490043641,0.88628,0.8089573307991028,0.8822,30.400611400604248
94,0.00015498214331265893,0.7912862231445312,0.88778,0.8061594336509704,0.8874,110.815101146698
95,0.00014593968634891755,0.790414597454071,0.88744,0.8019522002220154,0.8876,30.31117844581604
96,0.0001371433113886899,0.7842282305908204,0.89144,0.8063697083473206,0.8852,110.69330382347107
97,0.00012859904702798464,0.7846655847167969,0.89148,0.8022005610466003,0.887,30.15773034095764
98,0.00012031274907879935,0.7796021432495117,0.89242,0.8069451580047607,0.8866,110.21713542938232
99,0.00011229009655583849,0.7746948766899109,0.89546,0.8034797636985779,0.8897,30.209215879440308
100,0.00010453658778440102,0.7754203152465821,0.89586,0.8000039967536926,0.8893,110.49691939353943
101,9.70575366321023e-05,0.7714305137443542,0.89654,0.8040216618537903,0.8871,70.57426357269287
102,8.985806886701511e-05,0.7687814422416687,0.89766,0.7996929553985596,0.8897,30.45110511779785
103,8.294311864472434e-05,0.7625814777374268,0.90092,0.8017573828697204,0.888,110.2413547039032
104,7.631742512670281e-05,0.763263114528656,0.901,0.801131286907196,0.8889,29.932167053222656
105,6.998552923232717e-05,0.7655767845344543,0.89984,0.7980394500732422,0.8885,110.20558953285217
106,6.395177052675793e-05,0.7625967355155945,0.90074,0.7979523303031921,0.8896,29.997091054916382
107,5.8220284246819084e-05,0.752652148551941,0.90568,0.7972165218353271,0.8894,109.95854830741882
108,5.2794998466912506e-05,0.7538892003440857,0.9065,0.8014273227691651,0.8891,32.74202370643616
109,4.767963140691306e-05,0.7558575720787049,0.9041,0.7985478890419007,0.8909,29.697028398513794
110,4.2877688883885126e-05,0.7495496121788024,0.90758,0.7990716091156006,0.8903,89.94476509094238
111,3.839246190937172e-05,0.752389912109375,0.9067,0.7976525915145875,0.8924,29.584392070770264
112,3.422702443389899e-05,0.748213344039917,0.90874,0.7961154606819153,0.8918,109.79808211326599
113,3.0384231240244488e-05,0.7477072932243347,0.90882,0.7996891698837281,0.8906,29.73290252685547
114,2.686671598691118e-05,0.7450822108459473,0.90962,0.7969835131645203,0.8921,109.89808583259583
115,2.3676889403150102e-05,0.7456470822525024,0.90874,0.7984434482574463,0.8919,29.869706869125366
116,2.081693763676618e-05,0.7445190229225158,0.91028,0.7983431506156922,0.8908,109.95781207084656
117,1.8288820755842517e-05,0.7430129136657715,0.91112,0.7974725152969361,0.8904,32.55853605270386
118,1.6094271405406855e-05,0.7413581324577332,0.90926,0.7985267245292663,0.8898,29.942219734191895
119,1.4234793619963859e-05,0.743397340297699,0.9106,0.7973765725135803,0.8901,90.15835046768188
