candidate_id,patches_per_side,patch_size,num_patches,tokens,hidden,heads,depth,mlp_ratio,mlp_hidden,parameters,parameters_M,fp32_weight_MB,int8_weight_MB,FLOPs,MFLOPs,peak_activation_KB,peak_activation_MB,attention_peak_KB,mlp_peak_KB,memory_feasible,memory_utilization_%,memory_margin_KB,capacity_density
C027,4,8,16,17,96,2,3,1,96,190186,0.190186,0.7255020141601562,0.18137550354003906,6883614,6.883614,36.390625,0.0355377197265625,36.390625,19.125,True,14.215087890625,219.609375,41.838487747860356
C028,4,8,16,17,96,2,3,2,192,245770,0.24577,0.9375381469726562,0.23438453674316406,8959518,8.959518,36.390625,0.0355377197265625,36.390625,25.5,True,14.215087890625,219.609375,64.2891726987992
C029,4,8,16,17,96,2,4,1,96,246442,0.246442,0.9401016235351562,0.23502540588378906,8975464,8.975464,36.390625,0.0355377197265625,36.390625,19.125,True,14.215087890625,219.609375,42.78330345929748
C030,4,8,16,17,96,2,4,2,192,320554,0.320554,1.2228164672851562,0.30570411682128906,11743336,11.743336,36.390625,0.0355377197265625,36.390625,25.5,True,14.215087890625,219.609375,65.398792983527
C031,4,8,16,17,96,2,5,1,96,302698,0.302698,1.1547012329101562,0.28867530822753906,11067314,11.067314,36.390625,0.0355377197265625,36.390625,19.125,True,14.215087890625,219.609375,43.370957036187825
C032,4,8,16,17,96,2,5,2,192,395338,0.395338,1.5080947875976562,0.37702369689941406,14527154,14.527154,36.390625,0.0355377197265625,36.390625,25.5,True,14.215087890625,219.609375,66.08314333282348
C033,4,8,16,17,96,4,2,1,96,133930,0.13393,0.5109024047851562,0.12772560119628906,4797544,4.797544,40.90625,0.039947509765625,40.90625,19.125,True,15.97900390625,215.09375,40.02047714413875
C034,4,8,16,17,96,4,2,2,192,170986,0.170986,0.6522598266601562,0.16306495666503906,6181480,6.18148,40.90625,0.039947509765625,40.90625,25.5,True,15.97900390625,215.09375,62.12104544542731
C035,4,8,16,17,96,4,3,1,96,190186,0.190186,0.7255020141601562,0.18137550354003906,6892284,6.892284,40.90625,0.039947509765625,40.90625,19.125,True,15.97900390625,215.09375,41.785857924600904
C036,4,8,16,17,96,4,3,2,192,245770,0.24577,0.9375381469726562,0.23438453674316406,8968188,8.968188,40.90625,0.039947509765625,40.90625,25.5,True,15.97900390625,215.09375,64.227021110619
